TT,AHU3_CCV-AHU3-Percentage,AHU3_DSP-AHU3-inch,AHU3_DSPSP-AHU3-inch,AHU3_MAT-AHU3-degree Fahrenheit,AHU3_MaxDMP-AHU3-Percentage,AHU3_RAT-AHU3-degree Fahrenheit,AHU3_RHV-AHU3-Percentage,AHU3_SAT-AHU3-degree Fahrenheit,AHU3_SATSP-AHU3-degree Fahrenheit,AHU3_SFC-AHU3-No Unit,AHU3_SFS-AHU3-No Unit,AHU3_SupCFM-AHU3-cubic foot per minute,
Fri  Feb 21 18:00:00  CST,0.00  ( OK ),,,66.87  ( OK ),0.00  ( OK ),73.12  ( OK ),0.00  ( OK ),74.92  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 18:15:00  CST,0.00  ( OK ),,,67.28  ( OK ),0.00  ( OK ),73.08  ( OK ),0.00  ( OK ),78.24  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 18:30:00  CST,0.00  ( OK ),,,66.95  ( OK ),0.00  ( OK ),73.09  ( OK ),0.00  ( OK ),76.02  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 18:45:00  CST,0.00  ( OK ),,,66.73  ( OK ),0.00  ( OK ),73.13  ( OK ),8.61  ( OK ),71.56  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 19:00:00  CST,0.00  ( OK ),,,66.74  ( OK ),0.00  ( OK ),73.00  ( OK ),0.00  ( OK ),73.61  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 19:15:00  CST,0.00  ( OK ),,,66.97  ( OK ),0.00  ( OK ),73.14  ( OK ),0.00  ( OK ),76.40  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 19:30:00  CST,0.00  ( OK ),,,67.01  ( OK ),0.00  ( OK ),73.14  ( OK ),0.00  ( OK ),78.51  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 19:45:00  CST,0.00  ( OK ),,,66.79  ( OK ),0.00  ( OK ),73.14  ( OK ),0.00  ( OK ),74.30  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 20:00:00  CST,0.00  ( OK ),,,66.70  ( OK ),0.00  ( OK ),73.17  ( OK ),5.57  ( OK ),71.83  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 20:15:00  CST,0.00  ( OK ),,,66.66  ( OK ),0.00  ( OK ),73.13  ( OK ),0.00  ( OK ),73.82  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 20:30:00  CST,0.00  ( OK ),,,66.77  ( OK ),0.00  ( OK ),73.12  ( OK ),0.00  ( OK ),76.81  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 20:45:00  CST,0.00  ( OK ),,,66.82  ( OK ),0.00  ( OK ),73.13  ( OK ),0.00  ( OK ),78.51  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 21:00:00  CST,0.00  ( OK ),,,66.65  ( OK ),0.00  ( OK ),73.16  ( OK ),0.00  ( OK ),75.03  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
