TT,AHU6_CCV-AHU6-Percentage,AHU6_DSP-AHU6-inch,AHU6_DSPSP-AHU6-inch,AHU6_MAT-AHU6-degree Fahrenheit,AHU6_MaxDMP-AHU6-Percentage,AHU6_RAT-AHU6-degree Fahrenheit,AHU6_SAT-AHU6-degree Fahrenheit,AHU6_SATSP-AHU6-degree Fahrenheit,AHU6_SFC-AHU6-No Unit,AHU6_SFS-AHU6-No Unit,AHU6_SupCFM-AHU6-cubic foot per minute,AHU6_SupVFD-AHU6-Percentage,
Tue  May 13 05:00:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),69.08  ( OK ),0.00  ( OK ),75.77  ( OK ),73.17  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 05:15:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),69.35  ( OK ),0.00  ( OK ),74.08  ( OK ),73.00  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 05:30:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),69.32  ( OK ),0.00  ( OK ),73.05  ( OK ),72.32  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 05:45:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),69.23  ( OK ),0.00  ( OK ),72.46  ( OK ),71.78  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 06:00:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),69.23  ( OK ),0.00  ( OK ),72.20  ( OK ),71.57  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 06:15:00  CDT,99.99  ( OK ),0.31  ( OK ),1.50  ( OK ),65.69  ( OK ),100.00  ( OK ),74.36  ( OK ),68.73  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),10988.63  ( OK ),83.49  ( OK ),
Tue  May 13 06:30:00  CDT,99.99  ( OK ),0.41  ( OK ),1.50  ( OK ),65.70  ( OK ),100.00  ( OK ),74.61  ( OK ),74.18  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),12453.68  ( OK ),99.99  ( OK ),
Tue  May 13 06:45:00  CDT,99.99  ( OK ),0.41  ( OK ),1.50  ( OK ),65.26  ( OK ),100.00  ( OK ),73.90  ( OK ),57.88  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),12482.14  ( OK ),99.99  ( OK ),
Tue  May 13 07:00:00  CDT,99.99  ( OK ),0.55  ( OK ),1.50  ( OK ),64.91  ( OK ),100.00  ( OK ),73.10  ( OK ),57.35  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),11495.14  ( OK ),99.99  ( OK ),
Tue  May 13 07:15:00  CDT,99.99  ( OK ),0.69  ( OK ),1.50  ( OK ),65.13  ( OK ),100.00  ( OK ),72.72  ( OK ),56.99  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),11006.99  ( OK ),99.99  ( OK ),
